r01		r02		r03		r10		r12		r13		r20		r21		r23		r30		r31		r32		
5965		5923		3572		5989		3923		3614		5918		3877		2500		Err		3628		2486		
5989		5890		3562		5947		3881		3609		5975		3909		2491		3521		3600		2547		
6002		5900		3549		5984		3858		3581		5928		3905		2524		3530		3609		2524		
5989		5914		3530		5984		3947		3628		5914		3933		2491		3539		3637		2706		
5984		5909		Err		6021		3895		3642		5886		3938		2533		3535		3609		2701		
6040		5928		3525		5998		3933		3623		Err		3891		2538		3539		3595		2519		
6026		5937		Err		5984		3942		3590		5989		3900		2505		3548		3600		2519		
Err		5918		3544		5989		3881		3609		5923		3928		2519		3549		3605		2566		
5998		5862		3525		5984		3863		3619		Err		3895		2542		3511		3637		2514		
5993		5890		3539		5970		3891		3619		5984		3891		2500		3535		3609		2570		
6002		5928		3502		5988		3872		3633		5848		3928		2579		3548		3651		2486		
6002		5984		3502		5988		3895		3619		5886		3886		2538		3549		3637		2561		
6012		5895		3548		5979		3891		3600		5942		3863		2491		3535		3637		2533		
5984		5975		3544		5984		3886		3623		Err		3923		2528		3572		3623		2519		
5975		5970		3548		5984		3905		3576		Err		3923		2542		3521		3628		2519		
5988		5914		3525		6002		3914		3623		5975		3942		2561		3530		3605		2519		
5989		5867		3539		Err		3952		3619		5890		3872		2524		3558		3619		2533		
5956		5947		3558		6012		3895		3609		5909		3891		2481		Err		3605		2524		
5984		5947		3549		6002		3914		3628		5993		3900		2519		3502		3614		2509		
5984		5965		3511		5984		3877		3623		5918		Err		2528		3507		3619		2575		
5984		5872		3525		5998		3895		Err		Err		Err		2533		3521		3633		2505		
5988		5867		3535		Err		3923		3628		5876		3891		2556		3516		3623		2505		
5984		5890		3549		5993		3923		3623		5900		3905		2533		3511		3590		2542		
6016		5956		3535		6012		3928		3628		5881		3933		2519		3562		3605		2547		
5984		Err		3535		5989		3867		3609		5881		3938		2500		3548		3595		2570		
5998		5895		3553		5998		3914		3600		5933		3900		2561		3521		3595		2575		
6021		5961		3549		5988		3909		3623		5858		3895		2500		3530		3614		2505		
6030		5918		3549		5979		3909		3619		5942		3881		2519		3539		3619		2533		
6040		5923		3544		6007		3867		3595		5970		3961		2519		3549		3614		2552		
5984		5947		3558		5993		3900		3637		5918		3863		2500		3530		3637		2552		
5984		5904		3544		5988		3928		3595		5914		3900		2481		3549		3590		2481		
6021		5942		3521		5984		3886		3642		5928		3928		2509		3548		3590		2514		
5993		5961		3535		Err		3905		3600		5881		3919		2533		3535		3595		2528		
6002		5900		3567		Err		3919		3609		5947		Err		2491		3539		3614		2514		
6021		5984		3530		5998		3881		3637		5900		3900		2696		3521		3614		2505		
6002		5909		3516		6012		3886		3605		5988		3905		2514		3544		3609		2477		
5988		5984		3549		5998		Err		3609		Err		3863		2505		3525		3633		2528		
Err		5984		3530		6030		3952		3619		5956		3933		2528		3544		3647		2542		
5979		5853		3544		5989		3886		Err		5876		3881		2514		3521		3595		2561		
6002		5923		3539		6016		3923		3605		Err		3900		Err		3521		3609		Err		
5993		5872		3549		6012		3900		3642		5984		3909		2500		3548		3614		2514		
5989		5909		3553		5988		3886		3600		5923		3956		2509		3511		3600		2500		
5988		5937		3549		6007		3947		3628		Err		3877		2519		3521		3605		2533		
5988		5928		3544		5984		3905		3600		5890		3928		2524		3544		3609		2528		
5984		5848		3539		Err		3900		3609		5923		3877		2514		3525		3586		2538		
5965		6026		3521		6016		3914		3605		5886		3905		2491		3521		3609		2533		
6012		6012		3544		6035		3928		3600		5961		3905		2519		3530		3600		2491		
6007		5933		3549		5989		3895		3614		5853		3886		2542		3497		3619		2566		
5970		5862		3548		5975		3914		Err		5848		3919		2575		3530		3600		2538		
5988		5886		3553		Err		3881		3614		5956		3877		2495		3530		3609		2505		
5998		5876		3530		Err		3895		3623		Err		3895		2524		3511		3609		2524		
6002		5975		3530		6002		3914		3605		5900		3881		2505		3516		3600		2481		
6021		5947		3544		5988		3914		3614		5965		3956		2505		3521		3609		2509		
5988		5923		3507		5998		3895		3651		5956		3938		2500		3539		3609		2509		
5984		5867		3548		6021		3928		3619		5858		3900		2528		3544		3609		2491		
6016		5918		3535		Err		3905		3609		5909		3909		2542		3548		3619		2486		
6016		5933		3535		6002		3900		3619		5923		3933		2579		3521		3619		2528		
5993		5825		3581		5984		3900		Err		5867		3881		2519		3549		3605		2505		
5975		5900		3525		5984		3909		3609		Err		3938		2524		3516		3595		2566		
5965		5886		3558		6016		3928		3609		5881		3914		2682		3549		3600		2533		
6012		5984		3521		5988		3891		3614		5909		Err		2486		3502		3609		2547		
6002		5933		3549		5993		3923		3572		5829		3923		2509		3553		3605		2570		
5998		5890		3562		6012		3966		3633		5961		3900		2533		3544		3609		2524		
6012		5961		3535		5984		3923		3642		5904		Err		2552		3576		3605		2519		
5993		5867		3511		5965		3877		3628		5937		3909		2524		3544		3605		2533		
5988		5970		3539		6007		3881		3619		5900		3886		2491		Err		3614		2612		
5956		5848		3590		5979		3933		3623		5956		3923		Err		3548		3600		2538		
5984		5909		3525		5989		3914		3590		5909		3867		2524		3553		3619		2514		
5988		5918		3544		6035		3909		3642		5942		3895		2528		3535		3614		2514		
5951		5918		3516		Err		3900		3595		5979		3928		2509		3530		3609		2561		
6021		5872		3530		6016		3886		3605		5904		3886		2538		3521		3619		2524		
6040		5942		3516		6035		3942		3609		5862		3909		2477		3525		3614		2533		
5984		5820		3516		5988		3905		3637		5951		3923		2509		3507		3623		2533		
6002		5979		3562		5984		3872		3605		5904		3872		2528		3525		3628		2561		
5993		5895		3516		6030		3867		3614		5867		3914		2505		3502		3595		2509		
5993		5904		3549		6012		3919		3614		5965		3891		2593		3558		3605		2547		
6002		5895		3544		5984		3928		3628		5820		3905		2528		3535		3609		2528		
5993		5904		3525		6002		3886		3614		5858		3872		2524		3502		3581		2524		
