X [mm]	Y [mm]	Z [mm]	A0 	 RSS 	 Time 	 A1 	 RSS 	 Time 	 A2 	 RSS 	 Time 	 A3 	 RSS 	 Time 	 
320	2428	-8	2331	-80	5446795	2739	-83	5446808	3975	-86	5446822	1652	-80	5446835	
0	0	0	2294	-81	5446967	2729	-84	5446980	3975	-86	5446822	1643	-80	5447008	
299	2480	12	2294	-81	5446967	2790	-83	5447147	3989	-85	5447161	1657	-80	5447174	
334	2399	-27	2275	-81	5447295	2748	-83	5447309	3966	-85	5447322	1662	-80	5447336	
318	2434	-10	2303	-80	5447467	2711	-83	5447480	3970	-86	5447494	1652	-80	5447507	
338	2408	-3	2303	-81	5447639	2757	-83	5447652	3966	-86	5447666	1638	-80	5447679	
322	2423	4	2312	-80	5447811	2734	-83	5447824	3975	-85	5447838	1643	-80	5447851	
336	2425	-19	2289	-80	5447983	2715	-83	5447996	3952	-86	5448010	1643	-80	5448024	
326	2425	-11	2322	-80	5448155	2739	-83	5448168	3970	-86	5448182	1648	-80	5448195	
345	2445	-31	2345	-80	5448327	2725	-83	5448340	3942	-86	5448354	1638	-80	5448368	
286	2412	77	2294	-80	5448499	2734	-83	5448512	4031	-86	5448526	1629	-80	5448539	
321	2414	-1	2322	-80	5448670	2757	-83	5448684	3984	-86	5448697	1652	-80	5448711	
339	2388	18	2270	-80	5448843	2762	-83	5448857	3975	-86	5448870	1634	-80	5448884	
344	2417	-3	2298	-80	5449014	2734	-84	5449027	3952	-86	5449041	1634	-80	5449054	
301	2427	69	2303	-80	5449217	2715	-84	5449230	4008	-86	5449244	1615	-80	5449257	
331	2433	0	2322	-80	5449405	2725	-83	5449418	3961	-86	5449432	1634	-80	5449445	
350	2426	2	2312	-80	5449577	2734	-83	5449592	3947	-86	5449606	1620	-80	5449619	
313	2421	33	2280	-80	5449748	2711	-83	5449762	3989	-86	5449775	1629	-80	5449789	
356	2406	-17	2322	-80	5449921	2776	-83	5449935	3952	-86	5449948	1634	-80	5449962	
298	2426	17	2322	-80	5450092	2734	-83	5450105	4003	-86	5450119	1657	-80	5450132	
351	2425	-49	2322	-81	5450264	2743	-84	5450277	3938	-86	5450291	1652	-80	5450304	
332	2440	-6	2327	-80	5450436	2715	-83	5450449	3956	-86	5450463	1634	-80	5450476	
334	2422	-23	2284	-80	5450613	2715	-83	5450626	3952	-86	5450640	1652	-80	5450653	
0	0	0	2317	-81	5450785	2762	-83	5450799	3966	-86	5450812	1652	-80	5450653	
336	2419	-15	2308	-81	5450941	2743	-83	5450954	3961	-86	5450968	1643	-80	5450982	
367	2405	-17	2308	-80	5451113	2767	-83	5451126	3938	-86	5451140	1629	-80	5451153	
306	2435	6	2327	-80	5451286	2725	-83	5451299	3989	-86	5451313	1652	-80	5451326	
306	2419	38	2298	-81	5451457	2729	-83	5451471	3999	-86	5451484	1634	-80	5451498	
355	2403	-26	2298	-80	5451629	2762	-83	5451642	3947	-86	5451656	1643	-80	5451669	
347	2435	-22	2312	-80	5451802	2715	-83	5451815	3938	-86	5451829	1634	-80	5451842	
325	2421	15	2327	-80	5451973	2748	-83	5451987	3980	-86	5452001	1638	-80	5452014	
324	2436	17	2294	-81	5452144	2696	-83	5452157	3966	-86	5452171	1629	-80	5452184	
317	2519	19	2294	-81	5452144	2753	-83	5452331	3961	-86	5452345	1624	-80	5452358	
324	2433	28	2303	-81	5452488	2706	-83	5452501	3970	-86	5452516	1620	-80	5452530	
326	2443	22	2331	-80	5452676	2711	-83	5452689	3966	-86	5452703	1624	-80	5452716	
336	2387	32	2303	-81	5452848	2795	-83	5452861	3989	-86	5452875	1629	-80	5452889	
325	2426	0	2294	-81	5453020	2715	-83	5453033	3966	-86	5453047	1643	-80	5453060	
321	2438	-6	2312	-81	5453192	2706	-83	5453205	3966	-86	5453219	1643	-80	5453232	
355	2398	-13	2303	-80	5453364	2772	-83	5453378	3952	-86	5453391	1638	-80	5453405	
346	2434	-5	2327	-81	5453536	2729	-83	5453549	3947	-86	5453563	1624	-80	5453577	
0	0	0	2266	-80	5453707	2734	-83	5453720	3947	-86	5453563	1624	-80	5453742	
337	2421	23	2317	-80	5453863	2739	-83	5453876	3966	-86	5453890	1620	-80	5453903	
326	2430	26	2303	-80	5454025	2711	-83	5454038	3970	-86	5454052	1624	-80	5454066	
355	2395	29	2298	-80	5454197	2772	-83	5454210	3961	-86	5454224	1610	-80	5454237	
322	2429	5	2317	-81	5454368	2729	-83	5454382	3975	-86	5454395	1638	-80	5454409	
333	2411	0	2280	-80	5454541	2729	-83	5454554	3966	-86	5454568	1643	-80	5454581	
344	2420	-5	2303	-80	5454712	2734	-83	5454725	3952	-86	5454739	1629	-80	5454752	
340	2419	0	2294	-80	5454884	2729	-83	5454897	3956	-86	5454911	1629	-80	5454925	
307	2437	-6	2294	-80	5455056	2692	-83	5455069	3975	-86	5455083	1657	-80	5455096	
325	2426	0	0	0	0	2715	-83	5455241	3966	-86	5455255	1643	-80	5455268	
334	2404	12	2289	-81	5455431	2748	-83	5455444	3970	-86	5455458	1634	-80	5455471	
324	2432	-18	2289	-81	5455603	2701	-82	5455616	3961	-86	5455630	1652	-80	5455644	
0	0	0	2298	-80	5455775	2701	-82	5455616	3952	-86	5455803	1634	-80	5455817	
349	2414	-5	2303	-81	5455947	2748	-82	5455960	3952	-86	5455974	1629	-80	5455987	
336	2420	19	2308	-80	5456119	2734	-83	5456133	3966	-86	5456146	1624	-80	5456160	
