X [mm]	Y [mm]	Z [mm]	A0 	 RSS 	 Time 	 A1 	 RSS 	 Time 	 A2 	 RSS 	 Time 	 A3 	 RSS 	 Time 	 
474	2358	67	2294	-81	10204022	2715	-83	10204035	3914	-85	10204049	1638	-80	10204063	
422	2362	147	2303	-80	10204195	2711	-83	10204208	3980	-85	10204222	1629	-80	10204235	
440	2383	77	2308	-80	10204367	2682	-83	10204380	3938	-85	10204394	1648	-80	10204407	
434	2360	124	2294	-80	10204538	2711	-83	10204552	3966	-85	10204566	1634	-80	10204579	
418	2373	151	2303	-80	10204710	2692	-83	10204723	3980	-86	10204737	1624	-80	10204752	
424	2365	125	2308	-80	10204881	2711	-83	10204895	3975	-85	10204908	1643	-80	10204922	
443	2362	111	2298	-80	10205054	2711	-83	10205067	3952	-85	10205081	1634	-80	10205094	
436	2379	134	2322	-80	10205225	2696	-83	10205238	3956	-85	10205252	1620	-80	10205265	
444	2356	119	2303	-80	10205397	2725	-83	10205410	3956	-85	10205424	1629	-80	10205437	
455	2359	96	2294	-80	10205569	2711	-83	10205582	3938	-85	10205596	1634	-80	10205609	
450	2355	87	2289	-80	10205748	2715	-83	10205761	3942	-85	10205775	1643	-80	10205789	
462	2360	120	2327	-80	10205920	2739	-83	10205933	3942	-85	10205947	1620	-80	10205960	
441	2367	111	2322	-80	10206091	2720	-83	10206104	3956	-85	10206118	1638	-80	10206132	
434	2362	107	2303	-81	10206263	2715	-83	10206276	3961	-85	10206290	1643	-80	10206303	
438	2370	95	2294	-81	10206431	2692	-83	10206444	3947	-86	10206458	1643	-80	10206471	
429	2362	152	2298	-80	10206603	2706	-83	10206618	3975	-85	10206631	1620	-80	10206645	
414	2370	103	2298	-80	10206773	2696	-83	10206787	3975	-86	10206801	1657	-80	10206814	
435	2361	124	2284	-80	10206945	2701	-83	10206958	3961	-85	10206972	1629	-80	10206985	
429	2368	103	2298	-81	10207117	2696	-83	10207131	3961	-85	10207144	1648	-80	10207158	
418	2365	120	2284	-80	10207289	2692	-83	10207302	3975	-85	10207317	1643	-80	10207330	
438	2357	125	2294	-81	10207461	2715	-83	10207474	3961	-85	10207488	1629	-80	10207501	
451	2365	123	2308	-80	10207634	2715	-83	10207647	3947	-86	10207661	1620	-80	10207675	
437	2353	137	2284	-81	10207821	2711	-83	10207836	3966	-85	10207849	1624	-80	10207863	
466	2341	89	2280	-81	10207993	2734	-83	10208006	3933	-85	10208020	1634	-80	10208033	
416	2365	134	2308	-81	10208165	2711	-83	10208178	3984	-85	10208192	1643	-80	10208205	
424	2364	122	2289	-80	10208337	2696	-83	10208350	3970	-86	10208364	1638	-80	10208377	
436	2342	132	2270	-80	10208509	2720	-83	10208522	3970	-85	10208536	1629	-80	10208549	
457	2332	92	2270	-80	10208798	2743	-83	10208811	3947	-85	10208825	1643	-80	10208838	
462	2357	92	2298	-81	10208969	2720	-83	10208982	3933	-85	10208996	1634	-80	10209009	
446	2360	98	2322	-80	10209157	2734	-83	10209170	3952	-85	10209184	1643	-80	10209197	
423	2352	133	2289	-80	10209329	2720	-83	10209342	3980	-85	10209356	1638	-80	10209369	
435	2355	145	2294	-80	10209516	2720	-83	10209529	3970	-85	10209543	1620	-80	10209556	
434	2364	138	2294	-81	10209688	2701	-83	10209701	3966	-86	10209715	1624	-80	10209728	
0	0	0	2308	-81	10209863	2711	-83	10209876	3966	-86	10209715	1624	-80	10209898	
428	2374	124	2312	-81	10210019	2701	-83	10210032	3966	-85	10210046	1634	-80	10210059	
460	2347	116	2289	-81	10210191	2729	-83	10210204	3942	-85	10210218	1620	-80	10210231	
425	2378	119	2294	-81	10210363	2673	-83	10210376	3961	-86	10210391	1634	-80	10210404	
434	2377	117	2317	-81	10210535	2696	-83	10210548	3956	-86	10210562	1634	-80	10210575	
442	2362	105	2298	-81	10210707	2711	-83	10210720	3952	-85	10210734	1638	-80	10210747	
0	0	0	2289	-80	10210879	2711	-83	10210720	3961	-85	10210907	1624	-80	10210921	
438	2377	104	2294	-80	10211050	2682	-83	10211063	3947	-86	10211077	1634	-80	10211090	
454	2359	63	2298	-81	10211224	2715	-83	10211239	3933	-85	10211253	1657	-80	10211266	
438	2367	110	2289	-81	10211394	2692	-83	10211408	3952	-85	10211422	1634	-80	10211435	
444	2376	111	2294	-81	10211566	2682	-83	10211579	3942	-85	10211593	1624	-80	10211606	
427	2376	120	2303	-81	10211744	2687	-83	10211757	3961	-85	10211771	1634	-80	10211784	
450	2353	100	2298	-80	10211916	2725	-83	10211929	3947	-85	10211943	1638	-80	10211957	
461	2363	127	2308	-81	10212083	2715	-83	10212096	3938	-85	10212110	1610	-80	10212123	
445	2351	98	2266	-81	10212255	2701	-83	10212268	3947	-85	10212282	1638	-80	10212296	
459	2367	133	2327	-80	10212427	2725	-83	10212440	3942	-85	10212454	1610	-80	10212467	
427	2351	99	2289	-80	10212599	2720	-83	10212612	3970	-85	10212626	1657	-80	10212639	
441	2356	132	2294	-81	10212775	2715	-83	10212789	3961	-86	10212802	1624	-80	10212816	
431	2359	123	2289	-80	10212946	2706	-83	10212959	3966	-86	10212973	1634	-80	10212986	
430	2378	131	2308	-80	10213118	2687	-83	10213131	3961	-86	10213145	1624	-80	10213159	
438	2370	93	2289	-81	10213290	2687	-83	10213305	3947	-85	10213319	1643	-80	10213332	
444	2372	107	2294	-80	10213462	2687	-83	10213475	3942	-85	10213489	1629	-80	10213502	
415	2369	164	2298	-81	10213634	2696	-83	10213647	3989	-85	10213661	1620	-80	10213674	
434	2352	122	2284	-80	10213806	2715	-83	10213819	3966	-85	10213833	1634	-80	10213846	
433	2373	126	2284	-80	10213968	2678	-83	10213981	3956	-85	10213995	1620	-80	10214008	
411	2363	138	2294	-80	10214139	2701	-83	10214153	3989	-86	10214167	1643	-80	10214180	
457	2348	89	2275	-81	10214311	2720	-83	10214324	3938	-85	10214338	1638	-80	10214353	
447	2362	134	2322	-80	10214483	2729	-83	10214496	3956	-85	10214510	1620	-80	10214523	
449	2359	90	2294	-80	10214655	2711	-83	10214668	3942	-85	10214682	1643	-80	10214695	
459	2353	93	2298	-80	10214818	2729	-83	10214831	3938	-85	10214845	1634	-80	10214858	
451	2361	105	2289	-80	10214990	2706	-83	10215004	3942	-86	10215017	1629	-80	10215031	
434	2368	111	2298	-80	10215161	2696	-83	10215174	3956	-85	10215188	1638	-80	10215201	
451	2355	88	2294	-81	10215333	2720	-83	10215346	3942	-85	10215360	1643	-80	10215373	
454	2354	93	2289	-81	10215505	2720	-83	10215518	3942	-85	10215532	1638	-80	10215545	
451	2359	99	2294	-80	10215677	2711	-83	10215690	3942	-85	10215704	1634	-80	10215717	
453	2347	138	2303	-81	10215852	2743	-83	10215865	3956	-85	10215879	1615	-81	10215893	
440	2344	91	2294	-81	10216024	2739	-83	10216037	3961	-85	10216051	1657	-80	10216064	
446	2357	110	2298	-81	10216196	2720	-83	10216209	3952	-85	10216223	1634	-80	10216236	
444	2367	134	2289	-80	10216369	2692	-83	10216382	3952	-85	10216396	1615	-80	10216409	
428	2367	122	2303	-80	10216540	2701	-83	10216553	3966	-85	10216569	1638	-80	10216582	
0	0	0	2289	-80	10216713	2682	-83	10216726	3966	-85	10216569	1629	-80	10216748	
467	2375	64	2294	-81	10216883	2687	-83	10216898	3909	-85	10216911	1634	-80	10216925	
426	2353	90	2275	-80	10217055	2706	-83	10217068	3966	-85	10217082	1662	-80	10217095	
442	2352	103	2298	-81	10217227	2725	-83	10217241	3956	-85	10217254	1643	-80	10217268	
414	2375	139	2308	-80	10217399	2692	-83	10217412	3980	-85	10217427	1634	-80	10217440	
444	2366	92	2312	-80	10217571	2715	-83	10217584	3947	-85	10217598	1643	-80	10217611	
477	2364	70	2303	-80	10217749	2715	-83	10217762	3909	-85	10217776	1629	-80	10217789	
449	2354	75	2308	-80	10217921	2734	-83	10217935	3947	-85	10217948	1657	-80	10217962	
428	2356	135	2298	-80	10218108	2720	-83	10218121	3975	-85	10218135	1634	-80	10218148	
425	2373	120	2303	-81	10218279	2692	-83	10218292	3966	-85	10218306	1638	-80	10218319	
450	2355	87	2289	-80	10218451	2715	-83	10218464	3942	-85	10218478	1643	-80	10218491	
465	2357	83	2303	-80	10218623	2725	-83	10218637	3928	-85	10218650	1634	-80	10218664	
0	0	0	2294	-80	10218799	2725	-83	10218637	3942	-85	10218821	1629	-80	10218835	
448	2372	118	2298	-80	10218970	2692	-83	10218983	3942	-85	10218997	1620	-80	10219010	
447	2332	122	2261	-80	10219142	2734	-83	10219156	3961	-85	10219169	1629	-80	10219183	
441	2344	184	2298	-80	10219314	2739	-83	10219327	3980	-85	10219341	1601	-80	10219354	
448	2375	158	2312	-80	10219501	2696	-83	10219514	3952	-85	10219528	1596	-80	10219543	
445	2364	130	2317	-80	10219673	2720	-83	10219686	3956	-85	10219700	1624	-80	10219713	
444	2460	81	2317	-80	10219673	2701	-83	10219853	3942	-85	10219867	1629	-80	10219880	
455	2365	59	2280	-80	10220017	2692	-83	10220032	3923	-85	10220045	1652	-80	10220059	
0	0	0	2312	-81	10220189	2692	-83	10220032	3999	-85	10220217	1648	-80	10220231	
420	2371	134	2303	-80	10220361	2696	-83	10220374	3975	-85	10220388	1634	-80	10220401	
427	2364	149	2289	-80	10220533	2696	-83	10220546	3975	-85	10220561	1620	-80	10220574	
430	2358	126	2294	-81	10220694	2711	-83	10220707	3970	-86	10220721	1638	-80	10220734	
438	2360	110	2298	-80	10220867	2711	-83	10220880	3956	-85	10220894	1638	-80	10220907	
408	2374	136	2331	-80	10221039	2711	-83	10221052	3989	-85	10221066	1648	-80	10221079	
441	2351	115	2270	-80	10221211	2706	-83	10221224	3956	-85	10221238	1634	-80	10221252	
437	2365	154	2298	-81	10221383	2701	-83	10221396	3966	-85	10221410	1610	-80	10221423	
445	2365	106	2322	-80	10221555	2725	-83	10221568	3952	-85	10221582	1638	-80	10221595	
463	2334	134	2266	-81	10221730	2734	-83	10221743	3947	-85	10221757	1610	-80	10221771	
461	2348	114	2298	-80	10221902	2734	-83	10221915	3942	-85	10221929	1624	-80	10221942	
450	2371	80	2303	-80	10222073	2696	-83	10222087	3933	-85	10222101	1643	-80	10222114	
437	2358	154	2312	-81	10222245	2729	-83	10222258	3970	-85	10222272	1615	-80	10222285	
436	2370	92	2317	-80	10222433	2715	-83	10222446	3956	-85	10222460	1652	-80	10222473	
0	0	0	2294	-80	10222606	2715	-83	10222446	3942	-85	10222634	1643	-80	10222648	
448	2364	124	2322	-80	10222777	2725	-83	10222790	3952	-85	10222804	1624	-80	10222817	
0	0	0	2284	-80	10222948	2725	-83	10222790	3933	-85	10222976	1638	-80	10222990	
0	0	0	2322	-80	10223120	2725	-83	10222790	3938	-85	10223148	1643	-80	10223162	
446	2373	85	2317	-80	10223292	2706	-83	10223305	3942	-85	10223319	1648	-80	10223332	
457	2354	145	2289	-80	10223465	2715	-83	10223478	3947	-85	10223492	1601	-80	10223505	
449	2375	113	2303	-80	10223636	2687	-83	10223649	3938	-85	10223665	1620	-80	10223678	
445	2361	102	2294	-80	10223814	2706	-83	10223828	3947	-85	10223841	1638	-80	10223855	
460	2366	121	2317	-81	10223985	2720	-83	10223998	3938	-85	10224012	1615	-80	10224025	
471	2344	108	2294	-81	10224158	2739	-83	10224171	3933	-85	10224185	1620	-80	10224198	
457	2347	111	2280	-81	10224329	2720	-83	10224342	3942	-85	10224356	1624	-80	10224369	
446	2361	133	2303	-80	10224501	2715	-83	10224514	3956	-85	10224528	1620	-80	10224542	
453	2382	100	2303	-81	10224673	2678	-83	10224686	3928	-85	10224700	1624	-80	10224713	
460	2369	92	2284	-80	10224848	2687	-83	10224861	3923	-85	10224875	1624	-80	10224888	
445	2367	114	2275	-80	10225020	2682	-83	10225033	3942	-85	10225047	1620	-80	10225061	
436	2376	121	2312	-80	10225191	2696	-83	10225204	3956	-85	10225218	1629	-80	10225231	
440	2370	88	2303	-80	10225379	2701	-83	10225392	3947	-85	10225406	1648	-80	10225420	
413	2369	169	2312	-80	10225550	2706	-83	10225563	3994	-85	10225577	1624	-80	10225590	
444	2353	131	2294	-80	10225723	2725	-83	10225736	3961	-85	10225750	1624	-80	10225764	
438	2360	103	2298	-80	10225895	2711	-83	10225910	3956	-85	10225924	1643	-80	10225937	
443	2365	93	2298	-80	10226066	2706	-83	10226080	3947	-85	10226093	1643	-80	10226107	
431	2359	123	2289	-81	10226239	2706	-83	10226253	3966	-85	10226266	1634	-80	10226280	
425	2372	140	2294	-80	10226410	2687	-83	10226423	3970	-85	10226437	1624	-80	10226450	
419	2360	128	2284	-80	10226583	2701	-83	10226596	3980	-85	10226610	1643	-81	10226623	
441	2367	91	2284	-80	10226761	2687	-83	10226774	3942	-85	10226788	1643	-80	10226802	
443	2347	138	2294	-80	10226932	2734	-83	10226945	3966	-85	10226959	1624	-80	10226972	
447	2372	62	2303	-80	10227104	2696	-83	10227118	3933	-85	10227131	1657	-80	10227145	
443	2358	134	2270	-80	10227277	2696	-83	10227291	3956	-85	10227304	1615	-80	10227318	
427	2376	118	2294	-80	10227448	2682	-83	10227461	3961	-85	10227475	1634	-80	10227488	
425	2363	131	2275	-80	10227620	2687	-83	10227633	3970	-85	10227647	1629	-80	10227660	
433	2355	120	2284	-81	10227796	2711	-83	10227809	3966	-85	10227823	1634	-80	10227836	
441	2362	121	2280	-81	10227967	2692	-83	10227980	3952	-85	10227994	1624	-80	10228007	
455	2366	137	2317	-80	10228139	2720	-83	10228152	3947	-85	10228166	1610	-80	10228179	
438	2370	120	2298	-80	10228311	2696	-83	10228324	3956	-85	10228338	1629	-80	10228351	
442	2354	90	2308	-80	10228483	2734	-83	10228496	3956	-85	10228510	1652	-80	10228524	
441	2358	120	2294	-81	10228655	2711	-83	10228668	3956	-86	10228682	1629	-80	10228695	
445	2374	149	2331	-80	10228827	2715	-83	10228840	3956	-85	10228854	1610	-80	10228867	
0	0	0	2308	-80	10229015	2715	-83	10228840	3956	-85	10229044	1629	-80	10229057	
423	2366	106	2289	-80	10229186	2692	-83	10229199	3966	-85	10229214	1648	-80	10229227	
434	2357	120	2298	-80	10229358	2720	-83	10229371	3966	-86	10229385	1638	-80	10229398	
456	2357	86	2303	-81	10229530	2725	-83	10229543	3938	-85	10229557	1643	-80	10229570	
455	2447	83	2303	-81	10229530	2720	-83	10229705	3933	-86	10229719	1620	-80	10229733	
451	2360	133	2284	-81	10229864	2701	-83	10229877	3947	-85	10229892	1610	-80	10229905	
468	2348	119	2298	-80	10230036	2739	-83	10230049	3938	-85	10230063	1615	-80	10230076	
448	2360	112	2289	-80	10230207	2706	-83	10230221	3947	-86	10230235	1629	-80	10230248	
439	2363	89	2284	-80	10230379	2696	-83	10230392	3947	-86	10230406	1648	-80	10230419	
453	2366	118	2303	-81	10230554	2706	-83	10230567	3942	-85	10230581	1620	-80	10230594	
441	2356	96	2284	-80	10230731	2711	-83	10230744	3952	-85	10230758	1643	-80	10230771	
461	2359	131	2294	-80	10230902	2711	-83	10230915	3938	-85	10230929	1605	-80	10230943	
434	2369	118	2317	-80	10231074	2711	-83	10231087	3961	-85	10231101	1638	-80	10231114	
425	2355	111	2298	-81	10231246	2725	-83	10231259	3975	-85	10231273	1652	-80	10231286	
435	2456	75	2298	-81	10231246	2706	-83	10231426	3947	-86	10231440	1638	-80	10231453	
434	2361	67	2289	-80	10231591	2706	-83	10231604	3952	-86	10231618	1666	-80	10231631	
431	2358	89	2289	-81	10231762	2711	-83	10231775	3961	-85	10231789	1657	-80	10231802	
467	2344	89	2284	-80	10231934	2734	-83	10231948	3933	-85	10231961	1634	-80	10231975	
0	0	0	2280	-80	10232122	2725	-83	10232135	3933	-85	10231961	1648	-80	10232157	
441	2365	150	2308	-81	10232293	2711	-83	10232307	3961	-85	10232321	1610	-80	10232334	
456	2348	88	2289	-81	10232465	2729	-83	10232478	3942	-85	10232492	1643	-80	10232507	
461	2339	76	2270	-80	10232637	2734	-83	10232650	3938	-85	10232664	1648	-80	10232677	
456	2361	74	2308	-80	10232801	2720	-83	10232814	3933	-85	10232828	1648	-80	10232841	
0	0	0	2289	-81	10232971	2720	-83	10232814	3961	-86	10232992	1634	-80	10233006	
444	2364	138	2294	-81	10233127	2701	-83	10233140	3956	-85	10233154	1615	-80	10233167	
435	2373	115	2312	-81	10233300	2701	-83	10233313	3956	-85	10233327	1634	-80	10233340	
443	2366	132	2294	-80	10233471	2696	-83	10233485	3952	-86	10233499	1615	-80	10233512	
0	0	0	2289	-80	10233643	2696	-83	10233485	3956	-85	10233671	1624	-80	10233685	
445	2361	81	2284	-80	10233819	2701	-83	10233832	3942	-86	10233846	1648	-80	10233859	
450	2358	95	2289	-81	10233991	2711	-83	10234004	3942	-85	10234018	1638	-80	10234031	
403	2374	116	2312	-80	10234163	2696	-83	10234176	3989	-85	10234190	1662	-80	10234203	
