r01		r02		r03		r10		r12		r13		r20		r21		r23		r30		r31		r32		
5272		5712		3539		5248		Err		2916		5707		4073		2664		3507		2935		2687		
5220		5703		3488		5300		4120		2935		5731		4092		2650		3469		2921		2659		
5258		5684		3549		5286		4092		2949		5726		Err		2668		3507		2921		2650		
5253		5684		Err		5262		4092		2921		5712		4125		2682		3483		2935		Err		
5248		5721		3502		5220		4078		2921		5703		4139		2668		3511		2935		2673		
5253		5717		3525		5230		4082		2912		5745		Err		2640		3502		2898		2659		
5248		5684		3516		5277		4139		2921		5703		4115		2654		3488		2940		2659		
5291		5731		3535		5291		4092		2930		5698		4096		2659		3525		2916		2650		
5272		5707		3530		5291		4110		2930		5693		4082		2654		3493		2940		2654		
5253		5717		3511		5225		4078		2935		5759		4101		2664		3488		2940		2692		
5201		5717		3539		5244		4106		2930		5698		4101		2650		3521		2916		2678		
5291		5726		3511		5267		4082		2921		Err		4096		2645		3507		2916		2664		
5281		5707		3511		5234		4120		2935		5721		4082		2692		3549		2916		2621		
5220		5736		3530		5253		4129		2930		5712		4078		2650		3502		2921		2654		
5248		5717		3507		5267		4106		2902		5693		4120		2692		3493		2916		2640		
5272		5703		3502		5244		4073		2930		5726		4115		2706		3474		2888		2711		
5239		5731		3516		5258		4082		2949		5707		4115		2654		3516		2940		2668		
5253		5721		3530		5239		4087		2949		5675		4068		2696		3483		2907		2673		
5258		Err		3483		5305		4110		2944		5707		Err		2650		3469		2912		2673		
5262		5773		3474		5305		4110		2940		5731		4157		2654		3474		2926		2687		
5328		5707		3516		5286		4073		2926		5689		4082		Err		3497		2944		2668		
5342		5698		3530		5291		4087		2879		5726		4096		2682		3511		2912		2654		
5286		5717		3493		5234		4059		2926		5689		4078		2711		3479		Err		2659		
5258		5721		3493		5272		4129		2930		5721		4096		2631		3521		2912		2645		
5201		5750		3511		5309		4096		2935		5689		4078		2659		3511		2907		2696		
5234		5712		3493		5281		4125		2935		5731		4087		Err		3516		Err		2668		
5286		5740		3450		5267		4078		2935		5675		4078		2701		3474		2921		2659		
5305		5721		3493		5262		4139		2912		5712		Err		2659		3497		2926		2682		
5258		5721		3488		5272		4082		2921		5698		4125		2635		3507		2935		2650		
5300		5698		3474		5295		4073		2954		5726		4106		2682		3521		2888		2673		
5248		5675		3539		5258		Err		2940		5754		Err		2682		3488		2930		2650		
5281		5712		3479		5281		4106		2926		5717		Err		2631		3516		2907		2664		
5258		5764		3497		5286		4139		2921		5740		4068		2701		3516		2954		2692		
5267		5693		3497		5305		4125		2935		5717		Err		2678		3497		2940		2640		
5258		5736		3483		5291		4096		2940		5698		4082		2645		3516		2921		2635		
5281		5712		3479		5262		4073		2963		5721		4078		2635		3502		2930		2715		
5262		5721		3497		5230		4092		2940		5745		4087		2664		3497		2916		2696		
5305		5707		3521		5258		4110		2921		5721		4106		2673		3488		2921		2682		
5248		5707		3502		Err		4120		2926		5740		Err		Err		3488		2907		2631		
5272		5726		3507		5300		4096		2921		5693		4078		2617		3525		2954		2687		
5262		5717		3460		5258		4101		2954		5740		4120		2654		3544		Err		2668		
5201		5745		3497		5239		4106		2916		5721		4087		2650		3483		2921		2706		
5262		5717		3511		5295		4087		2926		5721		4125		2687		3488		2940		2668		
5258		5712		3469		5267		4106		2944		5712		Err		2654		3549		2940		2682		
5281		5703		3502		5267		4096		2921		5745		4096		2664		3511		2930		2682		
5234		5717		3502		5267		4096		2963		Err		4087		2678		3479		2916		2650		
5286		5740		3516		5253		4096		2940		5712		Err		2645		3502		2916		2612		
5230		5712		3539		5281		4115		2912		5736		Err		2696		3539		2926		2687		
Err		5745		3530		5262		4110		2916		Err		4068		2654		3525		2954		2715		
5272		5693		3493		5262		4106		2912		5731		4120		2678		3497		2954		2673		
5323		5684		3535		5206		4115		2921		5707		4129		2696		3521		2916		2640		
5230		5712		3479		5262		4120		Err		5745		4092		2696		3535		2921		2621		
5225		5731		3511		5277		4125		2968		5698		4110		2612		3493		2907		2678		
5244		5661		3502		5281		4129		2926		Err		4087		2626		3483		2959		2640		
5234		5707		3525		5323		4087		2944		Err		Err		Err		3497		2949		2668		
5337		5745		3502		5244		4078		2944		5731		4078		2631		3502		2921		2687		
5253		5703		3530		Err		4106		2916		5675		4092		2650		3525		2912		2621		
5262		5740		3511		5281		4087		2944		5689		4115		2635		3502		2926		2645		
5225		5717		3507		5244		4059		2949		5703		Err		2635		3483		2940		2635		
5239		5721		3497		5262		4059		2930		Err		4101		2673		3474		2949		2682		
5253		5689		3521		5230		4106		2893		5731		4106		2640		3521		2954		2706		
5352		5703		3497		5239		Err		2940		5703		4101		2673		3511		2902		2664		
5267		5703		3497		5234		4101		2935		5684		4139		Err		3539		Err		2678		
5262		5703		3525		5244		4110		2940		5675		4110		2654		3502		2898		2650		
5234		5721		3469		5225		4082		Err		5726		Err		2664		3497		2916		2664		
5300		5745		3479		5267		4101		2935		5759		4087		Err		3521		2907		2631		
5234		5689		3502		5309		4134		2949		5750		4134		2640		3521		2907		2678		
5277		5726		3502		5291		4087		Err		5693		4101		Err		3497		2916		2650		
5262		5707		3493		5258		4096		2921		5707		4106		Err		3511		2916		2659		
5239		5731		3464		5277		4064		2963		5754		4101		2659		3507		2930		2650		
5244		5726		3488		5262		4082		2921		5721		Err		2659		3483		Err		2692		
5234		5689		3516		5277		4087		2935		5721		4092		2635		3525		2949		2654		
5262		5754		3464		5281		4120		2916		5693		4125		2668		3535		2926		2640		
5248		5689		3479		5277		Err		2935		5721		4125		2673		3488		2907		2650		
5291		5703		3497		5244		4106		2926		5764		4096		2696		3511		2944		2664		
Err		5759		3530		5262		4101		2907		5712		4073		2673		3525		2907		2659		
5262		5698		3507		5286		4110		2926		5684		4129		2682		3488		2935		2640		
5277		5707		3483		5314		4129		2916		5707		4073		2673		3497		2921		2645		
5319		5731		3507		5267		4078		2940		5698		Err		2650		3502		2912		2673		
5277		5693		3521		5277		4068		2944		5703		4125		2673		3535		2930		2673		
5262		5721		3511		5206		4092		2930		5693		Err		2617		3511		2912		2612		
5258		5754		3525		5267		4078		2912		5679		4096		2626		3493		2912		Err		
5262		Err		3479		5239		4078		2921		5689		4082		2701		3502		2926		2598		
5272		5717		3511		5216		4148		2940		5726		4125		2631		3464		2902		2668		
5291		5745		3493		5277		Err		2935		5721		4064		2692		3516		2944		2654		
5300		5750		3535		5305		4068		2907		5736		4087		2682		3525		2930		2711		
5272		5689		3497		5267		4110		2930		5750		Err		2664		3469		2921		2645		
5272		5717		3511		5253		4115		2930		5726		4101		2687		3507		2940		2635		
5248		5712		3479		5239		4106		2912		5689		4092		2635		3493		2930		2668		
5234		5707		3483		5272		4082		Err		5726		4115		2654		3493		2944		2654		
5272		5726		3493		5253		4087		2930		5684		4096		2654		Err		2926		2659		
5253		5726		3497		5262		4096		2912		5712		4092		2654		3479		2926		2668		
5258		5703		3497		5258		4106		2949		5698		4110		2631		3502		Err		2640		
5267		5721		3502		5281		4115		2916		5684		4059		Err		3488		2954		2682		
5295		5717		3511		5262		4096		2959		5754		4101		Err		3516		2916		2664		
5253		5726		3483		5272		4087		2977		5731		4129		2664		3469		2944		2650		
5300		5726		3493		5272		4101		2902		5731		4092		2631		3479		2902		2654		
5267		5717		3511		5314		4110		2926		5698		4106		2640		3493		2935		2664		
5234		5745		3502		5286		4106		2916		5665		Err		2673		3521		2959		2668		
5248		5726		3502		5305		Err		2940		5717		4092		2696		3516		2898		2640		
5272		5693		3479		5267		4110		2898		5651		4073		2654		3511		2954		2682		
Err		5736		3502		5286		4068		2930		5703		4078		2687		3493		2926		2617		
5239		5740		3488		5277		4101		2926		5731		4096		2659		3469		Err		2654		
5305		Err		3493		5262		4087		2916		5707		4059		2678		3525		2926		2626		
5234		5731		3511		5239		4087		2940		5703		4087		2715		3488		2926		2645		
5230		5712		3549		5187		4106		2944		5707		4092		2659		3493		2940		2692		
5239		5679		3507		5220		4092		2926		5721		4115		2645		3483		Err		2668		
5262		5656		3535		5230		4125		2935		5764		4082		2650		3516		Err		2654		
5267		5721		3497		5258		4096		2921		5679		4101		2696		Err		Err		2650		
5178		5731		3511		5258		4087		2921		5707		4087		2635		3488		2916		2687		
5244		5684		3521		5272		4082		2940		5721		4073		Err		3521		2940		2706		
5248		5703		3502		5220		4078		2916		5750		4082		2635		3502		2921		2664		
5258		5693		3521		5220		4096		2944		5698		4139		2640		3479		Err		2621		
5220		5712		3497		5244		4092		Err		5707		Err		2682		3507		2926		2631		
5272		5717		3516		5258		4082		2921		5726		4139		2626		3530		Err		2664		
5291		5740		3525		5169		4101		2916		5745		4125		2640		3507		2893		2654		
5295		5698		3525		5230		4101		2921		5707		4096		2729		3502		2944		2682		
5295		5698		3525		5300		4106		2916		5745		4106		2631		3469		2935		2654		
5262		5736		3516		5258		4101		2907		5717		4120		2626		3511		2907		2631		
5211		5693		3483		5230		4096		2926		Err		4096		2631		3502		2930		2645		
5258		5679		3493		5291		4082		2926		5726		4143		Err		3497		Err		2645		
5262		5703		3525		5239		4082		2921		Err		4125		2621		3497		2954		2645		
5262		5684		3474		5230		4101		2935		5689		4087		Err		3493		2968		2631		
5267		5679		3493		5220		Err		2930		5721		Err		2682		3507		Err		2626		
5248		5736		3497		5267		4087		2935		5736		4106		2659		3521		2954		2650		
Err		5712		3525		5272		4101		2949		5712		Err		2678		3479		2921		2645		
5230		5703		3469		5253		4134		2930		5698		4082		2668		3488		2907		2673		
5295		5721		3511		Err		4125		2959		5679		4139		2626		3479		2912		2678		
5262		5670		3488		5253		4129		2916		5721		4087		2640		3497		2949		2654		
5253		5740		3493		5267		4115		2926		5726		4106		2659		3502		2935		2635		
5220		5693		3502		5323		4110		2940		5731		4078		2682		3502		2916		Err		
5244		5717		Err		5262		4054		2907		5693		4101		2626		3474		2944		2687		
5286		5712		3493		5248		4101		2912		5726		4087		2650		3479		2926		2645		
5286		5721		3464		5295		4134		2907		5754		4092		2645		3507		2926		2687		
5216		5726		3493		5239		4101		2949		5689		4101		2650		3502		2902		2659		
5319		5707		3507		5295		4129		2930		5712		4110		2650		3535		2907		2692		
5281		5736		3507		5248		4139		2902		5731		4092		2664		3497		2935		2631		
5230		5721		3521		5230		4139		2944		5731		4092		2626		3502		2968		2621		
5244		5698		3516		5281		4101		2935		5675		4115		2640		3516		2930		2673		
5295		5698		3488		5244		4092		2926		5736		Err		2650		3488		2907		Err		
5197		5731		3525		5234		4096		2907		5731		4082		2659		3511		2902		2635		
5277		5736		3502		5286		4106		2954		5764		4110		2650		3516		2949		2668		
5272		5731		3483		5211		4125		2926		5731		4110		2640		3511		2926		2645		
5244		5736		3507		5267		4082		2930		5670		4092		2659		3507		2926		2654		
5309		5721		3521		5323		Err		Err		5717		4078		2631		3502		2916		2589		
5281		5721		3488		5281		4087		2930		5764		4087		2706		3488		Err		2654		
5262		5736		3493		5272		4110		2912		5736		4110		2673		3488		Err		2654		
5281		5717		3474		5225		4096		2954		5717		4115		Err		3535		2954		2650		
5272		5754		3497		5272		4129		2926		Err		4082		2654		3488		2954		2682		
5277		5764		3521		5253		4073		2954		5684		Err		2635		3507		2949		2640		
5277		5726		3516		5277		4106		2944		5703		4087		Err		3488		2940		2668		
5314		5698		3474		5272		4078		2935		5689		4110		2701		3497		2907		2673		
5305		5726		3521		5244		4096		2926		5712		Err		2664		3493		2907		2692		
5277		5698		3488		5258		4082		2944		5750		4087		2626		3474		2954		2664		
5281		5740		3535		5234		4134		2940		5712		4101		2635		3497		2926		2650		
5272		5679		3497		5267		4068		2935		5703		4092		2626		3507		2912		2659		
5305		5731		3493		5262		4096		2902		5721		Err		2668		3469		2921		2635		
5262		5731		3493		5295		4087		2940		5698		4073		2650		3493		2940		2659		
5272		5712		3525		5258		4078		2949		5759		4110		2673		3497		2916		2645		
5262		5703		3460		5258		4092		2954		5712		4129		2682		3511		2930		2650		
5258		5731		3488		5286		4129		2930		5745		Err		2635		3479		2940		2678		
5244		5721		3516		5248		4064		2902		5717		4115		2678		3497		2959		2692		
5239		5698		3488		5225		4125		2921		5759		4134		Err		3521		2949		2664		
5220		5717		3525		5277		4125		2944		5754		4125		2631		3483		2926		2673		
5272		5712		3507		5258		4120		2935		5721		4096		2645		3525		2902		2696		
5277		5698		3525		5272		4101		2902		5745		Err		2668		3507		2916		2654		
5239		5731		3479		5262		4082		2916		5693		4082		2650		3479		2963		2650		
5272		5759		3483		5286		4078		2926		Err		4125		2664		3469		2954		2650		
5272		5731		3525		5216		4101		2926		5707		4078		Err		3469		2949		2682		
5262		5693		3507		5248		4096		2926		Err		4092		2668		3479		2916		2664		
5305		5736		3483		5295		4096		2963		5703		4082		2687		3502		2930		2635		
5234		5712		3479		5258		4110		2930		5740		4096		2645		3455		2898		2673		
5248		5731		3474		5244		4068		2907		5703		4106		2621		3493		2944		2682		
5258		5717		3502		5253		4087		2954		Err		4087		2692		3488		2874		Err		
5239		5703		3497		5262		4092		2930		5670		4082		2664		3511		2949		2607		
5277		Err		3502		5277		4068		2898		5703		4092		2664		3521		Err		2701		
5281		5731		3497		5230		4096		2949		5693		4101		2640		3488		2940		2626		
5272		5754		3488		5258		4120		2907		Err		4078		2664		3464		2916		2635		
5253		5712		3502		5258		4101		2954		Err		Err		Err		3502		2907		2687		
5248		5703		3497		5281		4096		2912		5721		4087		2640		3488		2926		2640		
5291		5745		3479		5248		4125		2949		5707		4082		Err		3488		2935		2664		
5258		5717		3535		5291		4096		2930		5707		4092		2645		3497		2944		2668		
5262		5726		3464		5267		4120		2902		5707		4115		2650		3507		2963		2687		
5281		5721		3488		5234		4064		2893		5764		4073		2612		3460		2944		2664		
5267		5731		3455		5234		4096		2949		5731		4092		2640		3516		2916		2631		
5281		5731		3488		5244		4120		2930		5721		4092		Err		3483		2930		2650		
5192		5703		3502		5234		4120		2907		5740		4115		2673		3464		2940		2640		
5267		5693		3460		5216		4096		2916		5745		4106		2678		3516		2949		2696		
5262		5689		3497		5281		4134		2921		Err		4106		2687		3502		2930		2645		
5244		5726		3483		5253		4082		2921		5726		4148		Err		3479		2930		2640		
5262		5703		3521		5225		4115		2926		5712		4115		2635		3502		2944		2645		
5295		5707		3516		5253		4110		2916		5726		4106		2659		3507		2963		2635		
5295		5707		Err		5300		4078		2916		5726		4073		2682		3497		2926		2701		
5244		5745		3497		5295		4078		2916		5698		4106		2682		3507		2940		2659		
5234		5689		3493		5234		4092		2973		5689		4134		2692		3483		2930		2696		
5248		5736		3507		5239		4115		2916		5787		Err		2678		3493		2954		2650		
5286		5754		3479		5262		4092		2898		5698		4078		2687		3530		2921		2631		
5244		5670		3479		5258		4110		2935		5726		4087		4087		3521		2935		2659		
5253		5712		3516		5234		4110		2902		5717		4101		2673		3483		2921		2687		
5220		5693		3521		5225		4143		2921		5754		4096		2645		3497		2954		2668		
5248		5689		3483		5234		4082		2888		Err		Err		2664		3483		2907		2654		
5253		5726		3511		5295		4106		2935		5698		4078		2711		3516		2898		2607		
5211		5726		3549		5234		4115		2912		5712		4073		2640		3507		2940		2711		
5258		5717		3511		5253		4092		2907		5731		4068		Err		3511		2916		2654		
5248		5703		3502		5244		4125		2921		5712		Err		2654		3483		2926		2635		
5267		5703		3507		5258		4096		2902		5703		4106		2626		3483		2944		2668		
5272		5717		3511		5281		4125		2930		5689		4106		2687		3511		2926		2701		
5281		5726		3497		5187		4106		2916		5717		4110		Err		Err		2949		2645		
5239		5703		3521		5295		4092		2921		5698		4110		2673		3488		2949		Err		
