Distanza: 30000.0
X [mm]	Y [mm]	Z [mm]	A0 	 RSS 	 Time 	 A1 	 RSS 	 Time 	 A2 	 RSS 	 Time 	 A3 	 RSS 	 Time 	 
-1693	31475	-1791	31533	-100	1003136	27978	-95	1003150	30473	-99	1003163	29661	-99	1003177	
-27905	6980	-4398	31533	-100	1003136	28043	-95	1003213	30365	-100	1003227	29525	-101	1003240	
-27964	-1527	-4821	31533	-100	1003136	27954	-100	1003280	30388	-99	1003294	29765	-99	1003308	
Err	Err	Err	31533	-100	1003136	27964	-97	1003354	30487	-97	1003368	29765	-99	1003308	
-27830	-3001	-4468	31533	-100	1003136	28015	-97	1003406	30506	-99	1003420	29708	-98	1003433	
-27830	-2763	-4615	31533	-100	1003136	28020	-97	1003472	30431	-98	1003486	29722	-97	1003499	
-26687	11920	-4831	31533	-100	1003136	27954	-96	1003541	30487	-96	1003555	29765	-98	1003568	
-27828	-2945	-4674	31533	-100	1003136	28006	-96	1003610	30496	-97	1003624	29797	-98	1003637	
-27960	-2010	-4573	31533	-100	1003136	27987	-97	1003675	30459	-97	1003689	29713	-98	1003702	
-27673	7863	-4849	31533	-100	1003136	27701	-97	1003743	30487	-97	1003757	29727	-95	1003770	
-208	31238	-4649	31570	-99	1003805	27978	-97	1003819	30426	-100	1003832	29704	-97	1003846	
Err	Err	Err	31570	-99	1003805	27959	-100	1003889	30426	-100	1003832	29643	-100	1003910	
-26101	13375	-4937	31570	-99	1003805	27931	-99	1003940	30478	-97	1003954	29783	-97	1003967	
Err	Err	Err	31538	-98	1003999	28109	-93	1004012	30478	-97	1003954	29769	-96	1004041	
183	31280	-4785	31589	-98	1004068	28109	-94	1004081	30459	-99	1004095	29774	-96	1004108	
1214	31165	-5251	31566	-98	1004135	28081	-93	1004148	30384	-101	1004162	29741	-97	1004177	
-1296	31159	5250	31599	-99	1004203	28057	-96	1004216	30524	-98	1004230	29615	-99	1004243	
-27728	8634	-4629	31599	-99	1004203	28043	-97	1004277	30609	-96	1004291	29797	-96	1004304	
Err	Err	Err	31664	-95	1004336	28067	-94	1004350	30609	-96	1004291	29713	-98	1004377	
-3823	30595	-6321	31439	-102	1004406	27964	-98	1004419	30510	-98	1004433	29713	-98	1004446	
Err	Err	Err	31669	-97	1004472	28043	-95	1004486	30510	-98	1004433	29544	-100	1004514	
-27727	-3459	-4710	31669	-97	1004472	27996	-97	1004548	30492	-98	1004562	29812	-97	1004576	
-2757	31130	-4494	31519	-102	1004604	28024	-96	1004617	30529	-97	1004631	29736	-97	1004644	
Err	Err	Err	31519	-102	1004604	28024	-95	1004686	30529	-97	1004631	29596	-99	1004707	
-25956	-9188	-4392	31519	-102	1004604	27996	-95	1004736	30412	-99	1004750	29685	-97	1004763	
-25947	-9231	-4286	31519	-102	1004604	27954	-98	1004802	30473	-98	1004816	29657	-99	1004829	
-26491	-7843	-4479	31519	-102	1004604	27917	-97	1004867	30431	-98	1004881	29704	-98	1004894	
-1769	31523	-911	31514	-101	1004925	28015	-95	1004938	30473	-99	1004952	29657	-100	1004965	
-28045	-1528	-4389	31514	-101	1004925	28015	-95	1004999	30468	-100	1005013	29643	-100	1005026	
-28095	-1200	-4375	31514	-101	1004925	28043	-94	1005064	30449	-102	1005077	29629	-98	1005091	
Err	Err	Err	31514	-101	1004925	28043	-92	1005136	30449	-102	1005077	29680	-98	1005157	
Err	Err	Err	31509	-102	1005179	28043	-92	1005136	30449	-102	1005077	29671	-97	1005208	
Err	Err	Err	31603	-99	1005230	28109	-92	1005244	30449	-102	1005077	29765	-96	1005265	
Err	Err	Err	31594	-99	1005293	28095	-90	1005307	30449	-102	1005077	29854	-94	1005328	
Err	Err	Err	31561	-99	1005355	28104	-90	1005369	30449	-102	1005077	29821	-95	1005396	
Err	Err	Err	31627	-99	1005423	28114	-90	1005436	30449	-102	1005077	29854	-96	1005464	
-219	31258	-4999	31594	-99	1005492	28142	-92	1005505	30492	-100	1005519	29802	-95	1005533	
Err	Err	Err	31538	-99	1005561	28081	-91	1005574	30492	-100	1005519	29802	-96	1005595	
Err	Err	Err	31584	-99	1005621	28118	-91	1005634	30492	-100	1005519	29774	-96	1005655	
Err	Err	Err	31599	-100	1005682	28132	-92	1005696	30492	-100	1005519	29774	-97	1005724	
