Distanza: 10000.0
X [mm]	Y [mm]	Z [mm]	A0 	 RSS 	 Time 	 A1 	 RSS 	 Time 	 A2 	 RSS 	 Time 	 A3 	 RSS 	 Time 	 
0	0	0	1522	-81	716024	0	0	1705985	1887	-78	716046	2084	-81	716060	
0	0	0	1494	-81	716085	0	0	1705985	1986	-78	716106	2122	-81	716120	
0	0	0	1433	-81	716144	0	0	1705985	1981	-78	716165	2052	-81	716179	
0	0	0	1433	-81	716203	0	0	1705985	1897	-78	716224	2070	-81	716238	
0	0	0	1475	-81	716263	0	0	1705985	1869	-79	716284	2084	-81	716298	
0	0	0	1499	-81	716322	0	0	1705985	2000	-79	716344	2075	-81	716358	
0	0	0	1695	-81	716385	0	0	1705985	1855	-79	716406	2136	-81	716420	
0	0	0	1615	-81	716444	0	0	1705985	1920	-79	716466	2108	-81	716480	
Err	Err	Err	1560	-81	716506	0	0	1705985	1831	-79	716527	2108	-81	716480	
0	0	0	1620	-81	716556	0	0	1705985	1911	-78	716578	2131	-81	716591	
0	0	0	1751	-81	716616	0	0	1705985	1775	-78	716637	2103	-81	716651	
0	0	0	1723	-81	716677	0	0	1705985	1780	-79	716698	2122	-81	716712	
Err	Err	Err	1602	-81	716739	0	0	1705985	1780	-79	716698	2094	-81	716767	
0	0	0	1606	-81	716790	0	0	1705985	1836	-78	716811	2103	-81	716825	
0	0	0	1597	-81	716850	0	0	1705985	1836	-78	716871	2108	-81	716885	
0	0	0	1602	-81	716914	0	0	1705985	1855	-78	716935	2122	-81	716949	
0	0	0	1606	-81	716974	0	0	1705985	1798	-78	716995	2145	-81	717009	
0	0	0	1597	-81	717034	0	0	1705985	1831	-78	717055	2103	-80	717069	
0	0	0	1620	-81	717093	0	0	1705985	1845	-78	717115	2080	-81	717129	
0	0	0	1611	-81	717153	0	0	1705985	1855	-79	717175	2122	-81	717189	
0	0	0	1601	-81	717214	0	0	1705985	1841	-79	717235	2094	-81	717249	
0	0	0	1653	-81	717276	0	0	1705985	1798	-78	717298	2094	-81	717312	
0	0	0	1588	-81	717339	0	0	1705985	1822	-78	717361	2094	-81	717375	
0	0	0	1597	-81	717399	0	0	1705985	1827	-78	717421	2127	-81	717435	
0	0	0	1630	-81	717462	0	0	1705985	1836	-79	717483	2084	-80	717497	
0	0	0	1597	-81	717526	0	0	1705985	1817	-78	717548	2075	-81	717562	
0	0	0	1583	-81	717589	0	0	1705985	1808	-78	717610	2127	-81	717624	
0	0	0	1597	-81	717649	0	0	1705985	1780	-78	717670	2141	-81	717684	
0	0	0	1588	-81	717710	0	0	1705985	1812	-78	717731	2131	-81	717745	
0	0	0	1579	-81	717771	0	0	1705985	1859	-78	717792	2117	-81	717807	
0	0	0	1541	-81	717833	0	0	1705985	1803	-78	717854	2066	-80	717868	
0	0	0	1569	-81	717893	0	0	1705985	1831	-78	717914	2113	-81	717928	
0	0	0	1546	-81	717952	0	0	1705985	1859	-78	717974	2052	-81	717988	
0	0	0	1574	-81	718015	0	0	1705985	1822	-78	718036	2122	-81	718050	
0	0	0	1513	-81	718076	0	0	1705985	1798	-78	718098	2103	-81	718112	
0	0	0	1593	-81	718141	0	0	1705985	1780	-78	718163	2150	-81	718177	
Err	Err	Err	1593	-81	718141	0	0	1705985	1869	-78	718218	2145	-80	718232	
0	0	0	1564	-81	718255	0	0	1705985	1855	-79	718276	2075	-81	718290	
0	0	0	1579	-81	718319	0	0	1705985	1831	-78	718340	2108	-80	718355	
0	0	0	1588	-81	718385	0	0	1705985	1855	-78	718406	2113	-81	718420	
0	0	0	1579	-81	718448	0	0	1705985	1780	-78	718469	2099	-81	718483	
0	0	0	1546	-81	718509	0	0	1705985	1827	-78	718530	2108	-81	718545	
0	0	0	1541	-81	718572	0	0	1705985	1808	-78	718595	2066	-81	718608	
0	0	0	1569	-81	718635	0	0	1705985	1887	-79	718656	2117	-80	718670	
0	0	0	1546	-81	718698	0	0	1705985	1780	-78	718719	2103	-81	718733	
0	0	0	1541	-81	718759	0	0	1705985	1794	-79	718782	2084	-80	718796	
0	0	0	1532	-81	718822	0	0	1705985	1827	-78	718844	2103	-80	718858	
0	0	0	1593	-81	718885	0	0	1705985	1812	-78	718907	2117	-81	718921	
0	0	0	1541	-81	718947	0	0	1705985	1831	-78	718968	2084	-81	718982	
0	0	0	1555	-81	719009	0	0	1705985	1831	-79	719032	2127	-80	719046	
0	0	0	1541	-81	719071	0	0	1705985	1794	-78	719094	2117	-81	719107	
0	0	0	1550	-81	719133	0	0	1705985	1775	-78	719154	2113	-81	719168	
0	0	0	1555	-81	719197	0	0	1705985	1812	-79	719218	2108	-80	719232	
0	0	0	1541	-81	719258	0	0	1705985	1756	-79	719281	2127	-81	719295	
0	0	0	1550	-81	719321	0	0	1705985	1766	-79	719343	2117	-80	719357	
0	0	0	1513	-81	719383	0	0	1705985	1756	-79	719404	2150	-81	719418	
0	0	0	1541	-81	719447	0	0	1705985	1798	-79	719468	2108	-81	719483	
0	0	0	1560	-81	719510	0	0	1705985	1770	-79	719531	2136	-81	719545	
0	0	0	1550	-81	719573	0	0	1705985	1737	-79	719594	2108	-81	719608	
0	0	0	1541	-81	719636	0	0	1705985	1789	-78	719657	2113	-81	719671	
0	0	0	1560	-81	719698	0	0	1705985	1719	-79	719719	2113	-81	719733	
