Distanza: 70000.0
X [mm]	Y [mm]	Z [mm]	A0 	 RSS 	 Time 	 A1 	 RSS 	 Time 	 A2 	 RSS 	 Time 	 A3 	 RSS 	 Time 	 
42736	49667	-16441	2774138880	8192	985089	0	0	1705985	0	0	1705985	0	0	1705985	
35921	49012	-4917	62311	-87	674317	41218	-87	674324	50951	-91	674331	46636	-86	674337	
34998	48737	-9563	62349	-86	674350	41256	-89	674356	50988	-91	674363	46673	-85	674370	
36021	48295	-7739	62311	-87	674381	41143	-90	674388	50913	-91	674395	46673	-85	674401	
35605	48249	-9439	62349	-87	674412	41143	-90	674419	50951	-92	674426	46673	-85	674433	
35738	48933	-5972	62273	-87	674473	41143	-92	674449	50876	-94	674456	46636	-86	674463	
35931	48996	-3963	62273	-87	674473	41031	-93	674480	50951	-92	674486	46636	-87	674494	
36067	48343	-6694	62236	-87	674505	41031	-96	674512	50838	-95	674519	46598	-86	674525	
34617	48407	-10877	62311	-87	674538	41031	-93	674545	50876	-96	674552	46486	-88	674558	
35614	48882	-5608	62236	-87	674569	40956	-93	674576	50801	-96	674583	46561	-87	674590	
35738	48202	-8719	62198	-87	674601	41031	-93	674608	50838	-94	674615	46523	-88	674622	
35850	48765	-5030	62236	-86	674634	41031	-93	674641	50726	-95	674648	46486	-90	674655	
35019	48291	-10296	62198	-88	674667	40956	-93	674674	50838	-93	674681	46448	-90	674688	
35947	47634	-9956	62161	-87	674698	40956	-93	674704	50726	-93	674711	46373	-89	674718	
34956	47437	-12735	62123	-89	674729	40993	-91	674736	50763	-96	674743	46223	-93	674749	
35404	47962	-9806	62048	-89	674759	41031	-91	674766	50801	-94	674774	46261	-91	674781	
35430	47988	-9513	62086	-88	674791	40956	-91	674798	50763	-93	674805	46261	-95	674812	
41284	48062	-15267	66138	-88	674822	47860	-89	674829	55013	-94	674835	50557	-89	674842	
40699	47555	-17623	66138	-86	674850	47822	-88	674857	55050	-90	674864	50632	-88	674871	
39573	48423	-17748	66063	-85	674907	47822	-88	674885	55013	-90	674892	50632	-88	674899	
41163	49062	-13014	66063	-85	674907	47785	-88	674914	55013	-89	674921	50670	-89	674928	
39563	48401	-17634	66101	-86	674937	47785	-87	674944	54975	-90	674951	50594	-89	674958	
39366	48238	-18305	66063	-86	674966	47785	-86	674974	54938	-90	674981	50594	-87	674988	
38604	47908	-20158	66063	-86	674996	47710	-86	675003	54938	-90	675010	50632	-86	675016	
39702	48565	-16893	66063	-85	675025	47747	-87	675034	54975	-88	675041	50557	-86	675047	
38895	47967	-19487	65988	-86	675056	47710	-86	675064	54863	-88	675071	50557	-86	675078	
39045	48041	-18993	65951	-85	675086	47672	-86	675093	54863	-89	675099	50519	-85	675106	
39469	48297	-17762	65988	-85	675115	47672	-86	675124	54863	-87	675131	50482	-85	675137	
39353	48228	-17999	65913	-85	675146	47635	-86	675153	54825	-87	675159	50444	-84	675166	
38105	47541	-21293	65838	-86	675204	47597	-85	675182	54825	-88	675188	50557	-84	675195	
38094	47535	-21170	65838	-85	675234	47597	-84	675211	54788	-87	675218	50519	-83	675224	
39174	48180	-18452	65838	-85	675234	47635	-85	675241	54788	-86	675248	50444	-84	675255	
39174	48180	-18452	65838	-86	675265	47635	-84	675271	54788	-87	675278	50444	-84	675285	
38838	47973	-19012	65838	-86	675324	47522	-85	675301	54788	-87	675307	50407	-84	675314	
38390	47625	-20349	65801	-87	675353	47522	-85	675331	54684	-87	675338	50407	-83	675344	
38907	47960	-18831	65763	-86	675384	47522	-85	675360	54722	-86	675367	50369	-85	675373	
39045	47942	-18682	65763	-86	675414	47522	-85	675390	54684	-86	675397	50332	-84	675404	
38311	47518	-20602	65763	-86	675414	47485	-85	675421	54647	-86	675428	50369	-83	675434	
39175	48061	-18169	65726	-86	675443	47485	-85	675450	54684	-86	675457	50294	-85	675463	
38762	47712	-19391	65688	-86	675473	47485	-85	675480	54609	-87	675487	50294	-84	675494	
38613	47823	-19328	65726	-85	675502	47372	-86	675509	54609	-86	675516	50257	-84	675523	
38925	48008	-18467	65613	-86	675563	47372	-85	675539	54609	-88	675546	50219	-84	675553	
38693	47723	-19254	65613	-86	675592	47335	-85	675570	54534	-88	675577	50182	-84	675583	
38496	47796	-19429	65613	-86	675592	47297	-85	675599	54534	-87	675606	50182	-84	675612	
38329	47473	-20264	65613	-86	675621	47335	-84	675627	54459	-87	675634	50182	-85	675642	
38555	47703	-19290	65538	-85	675650	47260	-85	675657	54459	-87	675664	50107	-85	675671	
38235	47600	-19969	65575	-86	675679	47222	-85	675686	54497	-86	675693	50144	-84	675700	
38031	47210	-20908	65500	-86	675708	47222	-85	675715	54384	-87	675722	50107	-84	675729	
38716	47713	-18932	65500	-85	675738	47260	-84	675744	54422	-87	675751	50069	-84	675758	
38246	47405	-19994	65425	-86	675767	47185	-85	675773	54347	-87	675780	50032	-84	675787	
38462	47550	-19414	65425	-86	675795	47147	-85	675802	54347	-87	675809	49994	-84	675816	
