Distanza: 30000.0
X [mm]	Y [mm]	Z [mm]	A0 	 RSS 	 Time 	 A1 	 RSS 	 Time 	 A2 	 RSS 	 Time 	 A3 	 RSS 	 Time 	 
Err	Err	Err	29572	-87	193135	0	0	1705985	0	0	1705985	0	0	1705985	
Err	Err	Err	29572	-87	193135	18945	-85	193143	0	0	1705985	0	0	1705985	
Err	Err	Err	29572	-87	193135	18945	-85	193143	23437	-84	193150	0	0	1705985	
Err	Err	Err	29572	-87	193135	18945	-85	193143	23437	-84	193150	14217	-80	193157	
18647	22467	-1483	29610	-87	193166	18945	-85	193143	23437	-84	193150	14217	-80	193157	
Err	Err	Err	29610	-87	193166	18870	-85	193174	23512	-84	193180	14217	-80	193157	
Err	Err	Err	29610	-87	193166	18870	-85	193174	23512	-84	193180	14255	-79	193187	
18466	22455	-2085	29610	-87	193196	18870	-85	193174	23512	-84	193180	14255	-79	193187	
Err	Err	Err	29610	-87	193196	18907	-86	193203	23475	-84	193210	14255	-79	193187	
Err	Err	Err	29610	-87	193196	18907	-86	193203	23475	-84	193210	14255	-79	193217	
18488	22415	-2206	29610	-87	193196	18907	-86	193203	23475	-84	193210	14255	-79	193217	
Err	Err	Err	29572	-87	193225	18907	-86	193203	23475	-84	193210	14255	-79	193217	
Err	Err	Err	29572	-87	193225	18907	-86	193203	23475	-84	193210	14255	-79	193217	
Err	Err	Err	29572	-87	193225	18945	-85	193232	23475	-84	193210	14255	-79	193217	
Err	Err	Err	29572	-87	193225	18945	-85	193232	23475	-85	193239	14255	-79	193217	
Err	Err	Err	29572	-87	193225	18945	-85	193232	23475	-85	193239	14292	-79	193246	
Err	Err	Err	29572	-87	193225	18945	-85	193232	23475	-85	193239	14292	-79	193246	
18535	22424	-2082	29572	-87	193225	18945	-85	193232	23475	-85	193239	14292	-79	193246	
Err	Err	Err	29610	-86	193255	18945	-85	193232	23475	-85	193239	14292	-79	193246	
Err	Err	Err	29610	-86	193255	18870	-84	193263	23475	-85	193239	14292	-79	193246	
Err	Err	Err	29610	-86	193255	18870	-84	193263	23475	-85	193270	14292	-79	193246	
Err	Err	Err	29610	-86	193255	18870	-84	193263	23475	-85	193270	14255	-79	193277	
18638	22546	-803	29610	-87	193287	18870	-84	193263	23475	-85	193270	14255	-79	193277	
Err	Err	Err	29610	-87	193287	18870	-84	193263	23475	-85	193270	14255	-79	193277	
Err	Err	Err	29610	-87	193287	18907	-85	193294	23475	-85	193270	14255	-79	193277	
Err	Err	Err	29610	-87	193287	18907	-85	193294	23475	-85	193300	14255	-79	193277	
Err	Err	Err	29610	-87	193287	18907	-85	193294	23475	-85	193300	14255	-79	193277	
Err	Err	Err	29610	-87	193287	18907	-85	193294	23475	-85	193300	14217	-79	193307	
18626	22544	-1323	29610	-87	193287	18907	-85	193294	23475	-85	193300	14217	-79	193307	
Err	Err	Err	29572	-85	193317	18907	-85	193294	23475	-85	193300	14217	-79	193307	
Err	Err	Err	29572	-85	193317	18870	-85	193324	23475	-85	193300	14217	-79	193307	
Err	Err	Err	29572	-85	193317	18870	-85	193324	23475	-84	193331	14217	-79	193307	
Err	Err	Err	29572	-85	193317	18870	-85	193324	23475	-84	193331	14330	-79	193338	
18569	22511	-1859	29572	-85	193317	18870	-85	193324	23475	-84	193331	14330	-79	193338	
Err	Err	Err	29647	-86	193347	18870	-85	193324	23475	-84	193331	14330	-79	193338	
Err	Err	Err	29647	-86	193347	18907	-86	193354	23475	-84	193331	14330	-79	193338	
Err	Err	Err	29647	-86	193347	18907	-86	193354	23475	-84	193331	14330	-79	193338	
Err	Err	Err	29647	-86	193347	18907	-86	193354	23475	-84	193361	14330	-79	193338	
Err	Err	Err	29647	-86	193347	18907	-86	193354	23475	-84	193361	14255	-80	193367	
18676	22557	-651	29610	-88	193377	18907	-86	193354	23475	-84	193361	14255	-80	193367	
Err	Err	Err	29610	-88	193377	18907	-86	193354	23475	-84	193361	14255	-80	193367	
Err	Err	Err	29610	-88	193377	18870	-86	193384	23475	-84	193361	14255	-80	193367	
Err	Err	Err	29610	-88	193377	18870	-86	193384	23437	-85	193391	14255	-80	193367	
Err	Err	Err	29610	-88	193377	18870	-86	193384	23437	-85	193391	14255	-80	193367	
Err	Err	Err	29610	-88	193377	18870	-86	193384	23437	-85	193391	14255	-79	193397	
18662	22533	-846	29610	-88	193377	18870	-86	193384	23437	-85	193391	14255	-79	193397	
Err	Err	Err	29572	-87	193408	18870	-86	193384	23437	-85	193391	14255	-79	193397	
Err	Err	Err	29572	-87	193408	18870	-86	193384	23437	-85	193391	14255	-79	193397	
Err	Err	Err	29572	-87	193408	18832	-86	193415	23437	-85	193391	14255	-79	193397	
Err	Err	Err	29572	-87	193408	18832	-86	193415	23437	-85	193391	14255	-79	193397	
Err	Err	Err	29572	-87	193408	18832	-86	193415	23475	-85	193422	14255	-79	193397	
Err	Err	Err	29572	-87	193408	18832	-86	193415	23475	-85	193422	14292	-79	193429	
Err	Err	Err	29572	-87	193408	18832	-86	193415	23475	-85	193422	14292	-79	193429	
18569	22560	-930	29572	-87	193408	18832	-86	193415	23475	-85	193422	14292	-79	193429	
Err	Err	Err	29572	-87	193439	18832	-86	193415	23475	-85	193422	14292	-79	193429	
Err	Err	Err	29572	-87	193439	18794	-86	193446	23475	-85	193422	14292	-79	193429	
Err	Err	Err	29572	-87	193439	18794	-86	193446	23475	-85	193453	14255	-80	193460	
18510	22583	-927	29572	-87	193439	18794	-86	193446	23475	-85	193453	14255	-80	193460	
Err	Err	Err	29647	-87	193469	18794	-86	193446	23475	-85	193453	14255	-80	193460	
Err	Err	Err	29647	-87	193469	18832	-86	193476	23475	-85	193453	14255	-80	193460	
Err	Err	Err	29647	-87	193469	18832	-86	193476	23475	-85	193453	14255	-80	193460	
Err	Err	Err	29647	-87	193469	18832	-86	193476	23475	-84	193483	14255	-80	193460	
Err	Err	Err	29647	-87	193469	18832	-86	193476	23475	-84	193483	14255	-80	193460	
Err	Err	Err	29647	-87	193469	18832	-86	193476	23475	-84	193483	14292	-80	193490	
18542	22619	-1287	29610	-87	193500	18870	-86	193506	23475	-84	193483	14292	-80	193490	
Err	Err	Err	29610	-87	193500	18870	-86	193506	23475	-85	193513	14292	-80	193490	
Err	Err	Err	29610	-87	193500	18870	-86	193506	23475	-85	193513	14292	-80	193520	
18494	22449	-2062	29610	-87	193500	18870	-86	193506	23475	-85	193513	14292	-80	193520	
Err	Err	Err	29572	-87	193529	18870	-86	193506	23475	-85	193513	14292	-80	193520	
Err	Err	Err	29572	-87	193529	18870	-86	193506	23475	-85	193513	14292	-80	193520	
Err	Err	Err	29572	-87	193529	18870	-85	193536	23475	-85	193513	14292	-80	193520	
Err	Err	Err	29572	-87	193529	18870	-85	193536	23437	-86	193543	14292	-80	193520	
Err	Err	Err	29572	-87	193529	18870	-85	193536	23437	-86	193543	14255	-79	193550	
18388	22356	-2563	29610	-87	193558	18870	-85	193536	23437	-86	193543	14255	-79	193550	
Err	Err	Err	29610	-87	193558	18870	-86	193565	23437	-86	193543	14255	-79	193550	
Err	Err	Err	29610	-87	193558	18870	-86	193565	23512	-84	193572	14255	-79	193550	
18466	22455	-2085	29610	-87	193558	18870	-86	193565	23512	-84	193572	14255	-79	193579	
Err	Err	Err	29572	-87	193588	18870	-86	193565	23512	-84	193572	14255	-79	193579	
Err	Err	Err	29572	-87	193588	18907	-85	193594	23512	-84	193572	14255	-79	193579	
Err	Err	Err	29572	-87	193588	18907	-85	193594	23437	-85	193603	14255	-79	193579	
Err	Err	Err	29572	-87	193588	18907	-85	193594	23437	-85	193603	14255	-80	193609	
18603	22540	-878	29572	-87	193588	18907	-85	193594	23437	-85	193603	14255	-80	193609	
Err	Err	Err	29572	-87	193588	18907	-85	193594	23437	-85	193603	14255	-80	193609	
Err	Err	Err	29572	-87	193620	18907	-85	193594	23437	-85	193603	14255	-80	193609	
Err	Err	Err	29572	-87	193620	18907	-85	193627	23437	-85	193603	14255	-80	193609	
Err	Err	Err	29572	-87	193620	18907	-85	193627	23475	-84	193634	14255	-80	193609	
Err	Err	Err	29572	-87	193620	18907	-85	193627	23475	-84	193634	14255	-79	193640	
Err	Err	Err	29572	-87	193620	18907	-85	193627	23475	-84	193634	14255	-79	193640	
18643	22530	-817	29572	-87	193620	18907	-85	193627	23475	-84	193634	14255	-79	193640	
Err	Err	Err	29572	-87	193620	18907	-85	193627	23475	-84	193634	14255	-79	193640	
Err	Err	Err	29675	-87	193652	18907	-85	193627	23475	-84	193634	14255	-79	193640	
Err	Err	Err	29675	-87	193652	18935	-84	193659	23475	-84	193634	14255	-79	193640	
Err	Err	Err	29675	-87	193652	18935	-84	193659	23475	-84	193634	14255	-79	193640	
Err	Err	Err	29675	-87	193652	18935	-84	193659	23545	-85	193666	14255	-79	193640	
Err	Err	Err	29675	-87	193652	18935	-84	193659	23545	-85	193666	14283	-79	193673	
Err	Err	Err	29675	-87	193652	18935	-84	193659	23545	-85	193666	14283	-79	193673	
18474	22449	-2285	29675	-87	193652	18935	-84	193659	23545	-85	193666	14283	-79	193673	
Err	Err	Err	29638	-86	193683	18935	-84	193659	23545	-85	193666	14283	-79	193673	
Err	Err	Err	29638	-86	193683	18935	-84	193659	23545	-85	193666	14283	-79	193673	
Err	Err	Err	29638	-86	193683	18973	-84	193690	23545	-85	193666	14283	-79	193673	
Err	Err	Err	29638	-86	193683	18973	-84	193690	23503	-85	193696	14283	-79	193673	
Err	Err	Err	29638	-86	193683	18973	-84	193690	23503	-85	193696	14283	-79	193703	
Err	Err	Err	29638	-86	193683	18973	-84	193690	23503	-85	193696	14283	-79	193703	
18702	22519	-1462	29675	-86	193715	18973	-84	193690	23503	-85	193696	14283	-79	193703	
Err	Err	Err	29675	-86	193715	18973	-84	193722	23470	-85	193728	14283	-79	193703	
Err	Err	Err	29675	-86	193715	18973	-84	193722	23470	-85	193728	14283	-79	193735	
18584	22503	-1752	29675	-86	193715	18973	-84	193722	23470	-85	193728	14283	-79	193735	
Err	Err	Err	29600	-87	193744	18973	-84	193722	23470	-85	193728	14283	-79	193735	
Err	Err	Err	29600	-87	193744	18973	-84	193722	23470	-85	193728	14283	-79	193735	
Err	Err	Err	29600	-87	193744	18973	-84	193752	23470	-85	193728	14283	-79	193735	
Err	Err	Err	29600	-87	193744	18973	-84	193752	23470	-85	193728	14283	-79	193735	
Err	Err	Err	29600	-87	193744	18973	-84	193752	23541	-84	193759	14283	-79	193735	
Err	Err	Err	29600	-87	193744	18973	-84	193752	23541	-84	193759	14321	-80	193765	
18656	22543	-1471	29600	-87	193744	18973	-84	193752	23541	-84	193759	14321	-80	193765	
Err	Err	Err	29600	-87	193744	18973	-84	193752	23541	-84	193759	14321	-80	193765	
Err	Err	Err	29600	-87	193775	18973	-84	193752	23541	-84	193759	14321	-80	193765	
Err	Err	Err	29600	-87	193775	18898	-85	193782	23541	-84	193759	14321	-80	193765	
Err	Err	Err	29600	-87	193775	18898	-85	193782	23541	-84	193759	14321	-80	193765	
Err	Err	Err	29600	-87	193775	18898	-85	193782	23508	-85	193789	14321	-80	193765	
Err	Err	Err	29600	-87	193775	18898	-85	193782	23508	-85	193789	14321	-80	193765	
Err	Err	Err	29600	-87	193775	18898	-85	193782	23508	-85	193789	14321	-79	193796	
18652	22565	-972	29600	-87	193775	18898	-85	193782	23508	-85	193789	14321	-79	193796	
Err	Err	Err	29600	-87	193806	18898	-85	193782	23508	-85	193789	14321	-79	193796	
Err	Err	Err	29600	-87	193806	18898	-85	193782	23508	-85	193789	14321	-79	193796	
Err	Err	Err	29600	-87	193806	18898	-85	193813	23508	-85	193789	14321	-79	193796	
Err	Err	Err	29600	-87	193806	18898	-85	193813	23508	-85	193789	14321	-79	193796	
Err	Err	Err	29600	-87	193806	18898	-85	193813	23508	-84	193820	14321	-79	193796	
Err	Err	Err	29600	-87	193806	18898	-85	193813	23508	-84	193820	14283	-79	193827	
18487	22457	-2042	29638	-86	193836	18935	-86	193843	23508	-84	193820	14283	-79	193827	
Err	Err	Err	29638	-86	193836	18935	-86	193843	23508	-84	193849	14283	-79	193827	
18688	22536	-1352	29638	-86	193836	18935	-86	193843	23508	-84	193849	14321	-79	193856	
Err	Err	Err	29675	-86	193865	18935	-86	193872	23508	-84	193849	14321	-79	193856	
Err	Err	Err	29675	-86	193865	18935	-86	193872	23508	-84	193878	14321	-79	193856	
Err	Err	Err	29675	-86	193865	18935	-86	193872	23508	-84	193878	14321	-79	193856	
Err	Err	Err	29675	-86	193865	18935	-86	193872	23508	-84	193878	14283	-79	193885	
18520	22449	-2003	29638	-86	193895	18935	-85	193902	23508	-85	193909	14245	-79	193915	
18605	22558	-1722	29600	-87	193954	18935	-85	193931	23508	-85	193938	14321	-79	193944	
18658	22510	-1585	29600	-87	193954	18935	-85	193961	23508	-85	193968	14283	-79	193974	
18512	22412	-2396	29638	-86	193983	18973	-86	193991	23503	-84	193997	14321	-79	194004	
