14775 0 0 355548768
1 14738 0 0 355557000
1 14757 0 0 355565216
1 14719 0 0 355573452
1 14794 0 0 355581672
1 14757 0 0 355588720
1 14719 0 0 355595756
1 14785 0 0 355603968
1 14738 0 0 355612184
1 14729 0 0 355620388
1 14729 0 0 355628604
1 14785 0 0 355635632
1 14747 0 0 355642676
1 14747 0 0 355649716
1 14804 0 0 355657940
1 14794 0 0 355666152
1 14785 0 0 355674368
1 14738 0 0 355682592
1 14794 0 0 355689628
1 14719 0 0 355696656
1 14757 0 0 355703672
1 14757 0 0 355711876
1 14757 0 0 355720092
1 14738 0 0 355728308
1 14729 0 0 355736512
1 14775 0 0 355743540
1 14729 0 0 355750580
1 14813 0 0 355757608
1 14747 0 0 355765828
1 14785 0 0 355774044
1 14747 0 0 355782276
1 14766 0 0 355790488
1 14710 0 0 355797508
1 14766 0 0 355804532
1 14813 0 0 355811556
1 14691 0 0 355818572
1 14747 0 0 355826780
1 14766 0 0 355834996
1 14710 0 0 355843208
1 14691 0 0 355851420
1 14794 0 0 355858432
1 14719 0 0 355865464
1 14738 0 0 355872504
1 14729 0 0 355879532
1 14710 0 0 355887748
1 14719 0 0 355895964
1 14804 0 0 355904168
1 14644 0 0 355912388
1 14710 0 0 355919432
1 14682 0 0 355926464
1 14766 0 0 355933500
1 14729 0 0 355941720
1 14747 0 0 355949956
1 14729 0 0 355958172
1 14794 0 0 355966388
1 14813 0 0 355973428
1 14841 0 0 355980448
1 14729 0 0 355988664
1 14700 0 0 355996888
1 14775 0 0 356005092
1 14738 0 0 356013296
1 14747 0 0 356020324
1 14738 0 0 356027344
1 14747 0 0 356034380
1 14785 0 0 356041408
1 14719 0 0 356049636
1 14766 0 0 356057860
1 14747 0 0 356066092
1 14738 0 0 356074316
1 14822 0 0 356081348
1 14775 0 0 356088376
1 14747 0 0 356096588
1 14794 0 0 356104824
1 14663 0 0 356113044
1 14729 0 0 356121272
1 14747 0 0 356128312
1 14822 0 0 356136532
1 14738 0 0 356144768
1 14775 0 0 356152988
1 14785 0 0 356161208
1 14804 0 0 356168248
1 14738 0 0 356175272
1 14691 0 0 356182300
1 14813 0 0 356190520
1 14794 0 0 356198748
1 14766 0 0 356206976
1 14700 0 0 356215184
1 14775 0 0 356222212
1 14766 0 0 356229236
1 14747 0 0 356236248
1 14729 0 0 356244464
1 14785 0 0 356252692
1 14719 0 0 356260908
1 14757 0 0 356269124
1 14738 0 0 356276148
1 14766 0 0 356283192
1 14729 0 0 356290220
1 14625 0 0 356298448
1 14710 0 0 356306668
1 14691 0 0 356314888
1 14710 0 0 356323108
1 14729 0 0 356330156
1 14766 0 0 356337180
1 14682 0 0 356345396
1 14700 0 0 356353616
1 14691 0 0 356361844
0 0 0 0 356370072
1 14691 0 0 356377580
0 0 0 0 356385808
1 14747 0 0 356394528
1 14813 0 0 356402744
1 14700 0 0 356410960
1 14738 0 0 356418004
1 14757 0 0 356425028
1 14766 0 0 356432064
1 14691 0 0 356439092
1 14766 0 0 356447300
1 14775 0 0 356455504
1 14729 0 0 356463712
1 14719 0 0 356471928
1 14832 0 0 356478952
1 14785 0 0 356485992
1 14757 0 0 356493012
1 14700 0 0 356500044
1 14775 0 0 356508264
1 14766 0 0 356516484
1 14832 0 0 356524708
1 14729 0 0 356532916
1 14719 0 0 356539944
0 0 0 0 356546976
1 14700 0 0 356555688
1 14813 0 0 356563904
1 14738 0 0 356570932
1 14766 0 0 356577964
1 14757 0 0 356586172
1 14682 0 0 356594392
1 14729 0 0 356602600
1 14804 0 0 356610836
1 14747 0 0 356617868
1 14766 0 0 356624896
1 14757 0 0 356631924
1 14757 0 0 356640132
1 14738 0 0 356648340
1 14832 0 0 356656568
1 14757 0 0 356664788
1 14804 0 0 356671804
1 14757 0 0 356678836
1 14766 0 0 356685868
1 14766 0 0 356692876
1 14775 0 0 356701084
1 14785 0 0 356709308
1 14710 0 0 356717528
1 14747 0 0 356725740
1 14738 0 0 356732768
1 14775 0 0 356739804
1 14700 0 0 356746824
1 14738 0 0 356753856
1 14822 0 0 356762076
1 14766 0 0 356770284
1 14785 0 0 356778484
1 14747 0 0 356786696
1 14747 0 0 356793712
1 14747 0 0 356800728
1 14775 0 0 356807760
1 14738 0 0 356814776
1 14738 0 0 356821800
0 0 0 0 356830020
1 14747 0 0 356837548
1 14747 0 0 356845784
1 14710 0 0 356853992
1 14775 0 0 356862192
1 14729 0 0 356870412
1 14747 0 0 356878624
1 14672 0 0 356885648
1 14729 0 0 356892668
1 14691 0 0 356899692
1 14757 0 0 356906728
1 14794 0 0 356914948
1 14700 0 0 356923184
1 14785 0 0 356931412
1 14766 0 0 356939624
1 14719 0 0 356946660
1 14738 0 0 356953700
1 14827 0 0 356961924
1 14808 0 0 356970136
1 14724 0 0 356978352
1 14771 0 0 356986568
1 14752 0 0 356993608
1 14780 0 0 357000644
1 14743 0 0 357008864
1 14724 0 0 357017084
1 14771 0 0 357025304
1 14752 0 0 357033508
1 14743 0 0 357040536
1 14743 0 0 357047576
1 14790 0 0 357054600
1 14686 0 0 357062816
1 14761 0 0 357071032
1 14771 0 0 357079252
1 14743 0 0 357087464
1 14808 0 0 357094476
1 14771 0 0 357101496
1 14752 0 0 357108532
1 14818 0 0 357115564
1 14743 0 0 357123800
1 14761 0 0 357132028
1 14733 0 0 357140244
1 14743 0 0 357148468
1 14752 0 0 357155504
1 14808 0 0 357163728
1 14808 0 0 357171952
1 14836 0 0 357180168
1 14790 0 0 357188392
1 14771 0 0 357195428
1 14705 0 0 357202460
1 14752 0 0 357209488
1 14846 0 0 357217716
1 14733 0 0 357225940
1 14818 0 0 357234148
0 0 0 0 357242360
1 14771 0 0 357251096
1 14771 0 0 357259312
1 14771 0 0 357266332
1 14771 0 0 357273368
1 14818 0 0 357280408
1 14790 0 0 357287432
1 14752 0 0 357295640
1 14705 0 0 357303860
1 14714 0 0 357312080
1 14705 0 0 357320308
1 14799 0 0 357327364
1 14799 0 0 357334396
1 14818 0 0 357342608
1 14761 0 0 357350824
1 14705 0 0 357359044
1 14761 0 0 357367272
1 14780 0 0 357374292
1 14771 0 0 357381340
1 14771 0 0 357388360
1 14752 0 0 357396580
1 14808 0 0 357404788
1 14771 0 0 357413012
1 14743 0 0 357421228
1 14752 0 0 357428264
1 14743 0 0 357435280
0 0 0 0 357442324
1 14771 0 0 357449852
1 14790 0 0 357458076
1 14757 0 0 357465124
1 14813 0 0 357472140
1 14804 0 0 357479160
1 14682 0 0 357486200
1 14719 0 0 357493236
1 14766 0 0 357500260
1 14719 0 0 357508476
1 14682 0 0 357516684
1 14757 0 0 357524900
1 14879 0 0 357533128
1 14832 0 0 357540172
1 14766 0 0 357547216
1 14813 0 0 357555428
1 14794 0 0 357563640
1 14766 0 0 357571860
1 14822 0 0 357580088
1 14813 0 0 357587124
1 14785 0 0 357594156
1 14710 0 0 357601172
1 14785 0 0 357609380
1 14700 0 0 357617588
1 14710 0 0 357625804
1 14804 0 0 357634012
1 14747 0 0 357641036
1 14757 0 0 357648080
1 14738 0 0 357655108
1 14813 0 0 357662144
1 14729 0 0 357670364
1 14710 0 0 357678568
1 14738 0 0 357686780
1 14729 0 0 357695000
1 14719 0 0 357702032
1 14747 0 0 357709060
1 14738 0 0 357716084
1 14700 0 0 357723084
1 14729 0 0 357731304
1 14794 0 0 357739540
1 14663 0 0 357747760
1 14775 0 0 357755984
1 14832 0 0 357763008
1 14747 0 0 357770044
1 14747 0 0 357778268
1 14757 0 0 357786476
1 14691 0 0 357794704
1 14775 0 0 357802916
1 14794 0 0 357809956
1 14757 0 0 357816984
1 14729 0 0 357824016
1 14775 0 0 357832220
1 14757 0 0 357840428
1 14785 0 0 357848652
1 14729 0 0 357856876
1 14757 0 0 357863904
1 14766 0 0 357870924
1 14719 0 0 357877960
1 14794 0 0 357886176
1 14738 0 0 357894384
1 14766 0 0 357902604
1 14738 0 0 357910820
1 14738 0 0 357917836
1 14757 0 0 357924884
1 14775 0 0 357931904
1 14822 0 0 357940108
1 14663 0 0 357948324
1 14775 0 0 357956536
1 14757 0 0 357964748
1 14822 0 0 357971768
1 14785 0 0 357978796
1 14804 0 0 357985836
1 14691 0 0 357992860
1 14719 0 0 358001076
1 14775 0 0 358009312
1 14644 0 0 358017528
0 0 0 0 358025744
1 14719 0 0 358033272
1 14785 0 0 358041488
1 14719 0 0 358049716
1 14635 0 0 358056748
1 14775 0 0 358063784
1 14747 0 0 358070820
1 14747 0 0 358079040
1 14700 0 0 358087264
1 14719 0 0 358095496
1 14757 0 0 358103716
1 14738 0 0 358110740
1 14766 0 0 358117768
1 14822 0 0 358125984
1 14672 0 0 358134200
1 14794 0 0 358142424
1 14738 0 0 358150624
1 14738 0 0 358157648
1 14813 0 0 358164680
1 14822 0 0 358171704
1 14747 0 0 358178728
1 14719 0 0 358186936
1 14747 0 0 358195152
1 14775 0 0 358203372
1 14710 0 0 358211600
1 14804 0 0 358218624
1 14738 0 0 358225660
1 14672 0 0 358233896
1 14738 0 0 358242120
1 14729 0 0 358250348
1 14804 0 0 358258556
1 14747 0 0 358265588
1 14738 0 0 358272628
1 14785 0 0 358279652
1 14775 0 0 358287872
1 14719 0 0 358296084
1 14766 0 0 358304296
1 14747 0 0 358312508
1 14738 0 0 358319556
1 14747 0 0 358326584
1 14757 0 0 358333612
1 14747 0 0 358341828
1 14729 0 0 358350040
1 14804 0 0 358358244
1 14757 0 0 358366448
1 14719 0 0 358373492
1 14757 0 0 358380508
1 14757 0 0 358387536
1 14625 0 0 358394568
1 14775 0 0 358402792
1 14794 0 0 358411012
1 14710 0 0 358419240
1 14804 0 0 358427456
1 14813 0 0 358434492
1 14785 0 0 358441520
1 14700 0 0 358449740
1 14766 0 0 358457980
1 14794 0 0 358466196
1 14747 0 0 358474408
1 14766 0 0 358481448
1 14804 0 0 358488472
1 14710 0 0 358496700
1 14757 0 0 358504920
1 14775 0 0 358513132
1 14738 0 0 358521344
1 14719 0 0 358528376
1 14691 0 0 358535392
1 14775 0 0 358542420
1 14663 0 0 358549440
1 14757 0 0 358557648
1 14775 0 0 358565864
1 14757 0 0 358574108
1 14747 0 0 358582320
1 14766 0 0 358589344
1 14869 0 0 358596364
1 14738 0 0 358603384
1 14729 0 0 358611604
1 14719 0 0 358619820
1 14775 0 0 358628048
1 14766 0 0 358636276
1 14747 0 0 358643312
1 14757 0 0 358650336
1 14757 0 0 358657360
1 14729 0 0 358665588
1 14785 0 0 358673824
1 14785 0 0 358682052
1 14757 0 0 358690264
1 14766 0 0 358697292
1 14710 0 0 358704324
1 14785 0 0 358712536
1 14804 0 0 358720748
1 14785 0 0 358728960
1 14719 0 0 358737164
1 14813 0 0 358744216
1 14822 0 0 358751244
1 14822 0 0 358758268
1 14794 0 0 358766480
1 14804 0 0 358774704
1 14813 0 0 358782924
1 14822 0 0 358791136
1 14729 0 0 358798156
1 14710 0 0 358805200
1 14794 0 0 358812240
1 14766 0 0 358820472
1 14747 0 0 358828700
1 14794 0 0 358836916
1 14747 0 0 358845140
1 14832 0 0 358852180
1 14822 0 0 358860400
1 14729 0 0 358868616
1 14766 0 0 358876836
1 14766 0 0 358885060
1 14785 0 0 358892112
1 14813 0 0 358899156
1 14700 0 0 358907368
1 14729 0 0 358915576
1 14672 0 0 358923792
1 14832 0 0 358932000
1 14766 0 0 358939036
1 14738 0 0 358946072
1 14775 0 0 358953104
1 14738 0 0 358960128
